lat,lon,name,count,source
60.128161,18.643501,sweden,15,Huffington Post
17.570692,-3.996166,mali,45,Huffington Post
15.552727,48.516388,yemen,47,Huffington Post
22.396428,114.109497,hong kong,8,Huffington Post
-6.369028,34.888822,tanzania,6,Huffington Post
25.930414,50.637772,bahrain,5,Huffington Post
15.454166,18.732207,chad,20,Huffington Post
23.634501,-102.552784,mexico,33,Huffington Post
20.593684,78.96288,india,79,Huffington Post
-29.609988,28.233608,lesotho,1,Huffington Post
-75.250973,-0.071389,antarctica,3,Huffington Post
53.709807,27.953389,belarus,9,Huffington Post
1.373333,32.290275,uganda,7,Huffington Post
-3.373056,29.918886,burundi,10,Huffington Post
-0.023559,37.906193,kenya,14,Huffington Post
41.87194,12.56738,italy,54,Huffington Post
-30.559482,22.937506,south africa,20,Huffington Post
35.937496,14.375416,malta,4,Huffington Post
9.145,40.489673,ethiopia,12,Huffington Post
-15.376706,166.959158,vanuatu,1,Huffington Post
7.369722,12.354722,cameroon,13,Huffington Post
9.30769,2.315834,benin,1,Huffington Post
56.130366,-106.346771,canada,30,Huffington Post
31.354676,34.308825,gaza strip,1,Huffington Post
1.352083,103.819836,singapore,9,Huffington Post
31.952162,35.233154,palestinian territories,1,Huffington Post
43.750298,7.412841,monaco,1,Huffington Post
9.748917,-83.753428,costa rica,1,Huffington Post
46.151241,14.995463,slovenia,1,Huffington Post
51.165691,10.451526,germany,70,Huffington Post
41.902916,12.453389,vatican city,5,Huffington Post
15.179384,39.782334,eritrea,9,Huffington Post
3.202778,73.22068,maldives,2,Huffington Post
41.377491,64.585262,uzbekistan,1,Huffington Post
13.794185,-88.89653,el salvador,5,Huffington Post
51.919438,19.145136,poland,12,Huffington Post
-0.789275,113.921327,indonesia,25,Huffington Post
14.058324,108.277199,vietnam,17,Huffington Post
29.31166,47.481766,kuwait,6,Huffington Post
45.943161,24.96676,romania,1,CNN
22.198745,113.543873,macau,1,CNN
23.634501,-102.552784,mexico,3,CNN
33.886917,9.537499,tunisia,1,CNN
37.09024,-95.712891,united states,5,CNN
4.210484,101.975766,malaysia,1,CNN
38.963745,35.243322,turkey,2,CNN
25.354826,51.183884,qatar,1,CNN
41.87194,12.56738,italy,1,CNN
29.31166,47.481766,kuwait,1,CNN
8.537981,-80.782127,panama,1,CNN
28.394857,84.124008,nepal,1,CNN
-15.376706,166.959158,vanuatu,1,CNN
35.907757,127.766922,south korea,1,CNN
-14.235004,-51.92528,brazil,1,CNN
32.427908,53.688046,iran,1,CNN
64.963051,-19.020835,iceland,1,CNN
51.165691,10.451526,germany,1,CNN
40.069099,45.038189,armenia,1,CNN
33.223191,43.679291,iraq,1,CNN
42.315407,43.356892,georgia,2,CNN
26.3351,17.228331,libya,1,CNN
21.512583,55.923255,oman,6,CNN
17.570692,-3.996166,mali,2,CNN
46.818188,8.227512,switzerland,1,CNN
34.802075,38.996815,syria,3,CNN
49.214439,-2.13125,jersey,1,CNN
41.377491,64.585262,uzbekistan,1,Herald Sun
36.204824,138.252924,japan,15,Herald Sun
55.378051,-3.435973,united kingdom,7,Herald Sun
26.820553,30.802498,egypt,7,Herald Sun
-1.940278,29.873888,rwanda,1,Herald Sun
-38.416097,-63.616672,argentina,2,Herald Sun
60.472024,8.468946,norway,2,Herald Sun
7.946527,-1.023194,ghana,4,Herald Sun
-25.274398,133.775136,australia,388,Herald Sun
21.521757,-77.781167,cuba,2,Herald Sun
-19.015438,29.154857,zimbabwe,1,Herald Sun
50.503887,4.469936,belgium,4,Herald Sun
18.971187,-72.285215,haiti,1,Herald Sun
12.238333,-1.561593,burkina faso,1,Herald Sun
40.339852,127.510093,north korea,1,Herald Sun
52.132633,5.291266,netherlands,5,Herald Sun
56.26392,9.501785,denmark,7,Herald Sun
12.879721,121.774017,philippines,8,Herald Sun
7.873054,80.771797,sri lanka,2,Herald Sun
42.733883,25.48583,bulgaria,1,Herald Sun
18.109581,-77.297508,jamaica,1,Herald Sun
44.016521,21.005859,serbia,2,Herald Sun
4.210484,101.975766,malaysia,7,Herald Sun
-10.447525,105.690449,christmas island,1,Herald Sun
39.074208,21.824312,greece,2,Herald Sun
17.607789,8.081666,niger,15,Herald Sun
56.130366,-106.346771,canada,4,Herald Sun
33.93911,67.709953,afghanistan,3,Herald Sun
25.354826,51.183884,qatar,5,Herald Sun
38.969719,59.556278,turkmenistan,1,Herald Sun
12.862807,30.217636,sudan,1,Herald Sun
9.945587,-9.696645,guinea,5,Herald Sun
8.537981,-80.782127,panama,1,Herald Sun
28.394857,84.124008,nepal,14,Herald Sun
49.815273,6.129583,luxembourg,1,Herald Sun
5.152149,46.199616,somalia,1,Herald Sun
-0.522778,166.931503,nauru,2,Herald Sun
6.42375,-66.58973,venezuela,1,Herald Sun
32.427908,53.688046,iran,10,Herald Sun
23.424076,53.847818,united arab emirates,3,Herald Sun
46.818188,8.227512,switzerland,1,Herald Sun
35.86166,104.195397,china,26,Herald Sun
40.069099,45.038189,armenia,1,Herald Sun
15.870032,100.992541,thailand,2,Herald Sun
33.223191,43.679291,iraq,4,Herald Sun
23.684994,90.356331,bangladesh,2,Herald Sun
48.379433,31.16558,ukraine,1,Herald Sun
21.512583,55.923255,oman,142,Herald Sun
61.92411,25.748151,finland,2,Herald Sun
-20.348404,57.552152,mauritius,2,Herald Sun
34.802075,38.996815,syria,7,Herald Sun
49.214439,-2.13125,jersey,10,Herald Sun
30.375321,69.345116,pakistan,2,Herald Sun
45.943161,24.96676,romania,2,Herald Sun
33.886917,9.537499,tunisia,2,Herald Sun
37.09024,-95.712891,united states,14,Herald Sun
47.516231,14.550072,austria,4,Herald Sun
4.570868,-74.297333,colombia,1,Herald Sun
-40.900557,174.885971,new zealand,45,Herald Sun
-16.578193,179.414413,fiji,2,Herald Sun
38.963745,35.243322,turkey,15,Herald Sun
23.885942,45.079162,saudi arabia,3,Herald Sun
15.454166,18.732207,chad,10,Herald Sun
-32.522779,-55.765835,uruguay,1,Herald Sun
46.227638,2.213749,france,28,Herald Sun
-9.189967,-75.015152,peru,2,Herald Sun
19.85627,102.495496,laos,1,Herald Sun
9.081999,8.675277,nigeria,15,Herald Sun
-16.290154,-63.588653,bolivia,1,Herald Sun
31.046051,34.851612,israel,4,Herald Sun
53.41291,-8.24389,ireland,6,Herald Sun
8.619543,0.824782,togo,1,Herald Sun
30.585164,36.238414,jordan,9,Herald Sun
-35.675147,-71.542969,chile,1,Herald Sun
35.907757,127.766922,south korea,3,Herald Sun
40.463667,-3.74922,spain,2,Herald Sun
42.315407,43.356892,georgia,5,Herald Sun
60.128161,18.643501,sweden,2,Herald Sun
17.570692,-3.996166,mali,10,Herald Sun
22.396428,114.109497,hong kong,10,Herald Sun
61.52401,105.318756,russia,11,Herald Sun
25.930414,50.637772,bahrain,3,Herald Sun
22.198745,113.543873,macau,1,Herald Sun
23.634501,-102.552784,mexico,6,Herald Sun
20.593684,78.96288,india,22,Herald Sun
-20.904305,165.618042,new caledonia,4,Herald Sun
1.373333,32.290275,uganda,1,Herald Sun
-3.373056,29.918886,burundi,1,Herald Sun
-0.023559,37.906193,kenya,2,Herald Sun
41.87194,12.56738,italy,6,Herald Sun
-30.559482,22.937506,south africa,7,Herald Sun
12.565679,104.990963,cambodia,4,Herald Sun
9.145,40.489673,ethiopia,1,Herald Sun
32.321384,-64.75737,bermuda,1,Herald Sun
-15.376706,166.959158,vanuatu,1,Herald Sun
7.369722,12.354722,cameroon,2,Herald Sun
9.30769,2.315834,benin,1,Herald Sun
-14.235004,-51.92528,brazil,21,Herald Sun
1.352083,103.819836,singapore,10,Herald Sun
64.963051,-19.020835,iceland,1,Herald Sun
46.151241,14.995463,slovenia,1,Herald Sun
51.165691,10.451526,germany,3,Herald Sun
-21.178986,-175.198242,tonga,2,Herald Sun
3.202778,73.22068,maldives,2,Herald Sun
-6.369028,34.888822,tanzania,1,Herald Sun
-0.789275,113.921327,indonesia,51,Herald Sun
14.058324,108.277199,vietnam,7,Herald Sun
43.750298,7.412841,monaco,1,Herald Sun
-13.759029,-172.104629,samoa,1,Al Jazeera
42.602636,20.902977,kosovo,2,Al Jazeera
13.443182,-15.310139,gambia,3,Al Jazeera
40.143105,47.576927,azerbaijan,2,Al Jazeera
40.339852,127.510093,north korea,13,Al Jazeera
11.825138,42.590275,djibouti,5,Al Jazeera
35.937496,14.375416,malta,3,Al Jazeera
36.204824,138.252924,japan,26,Al Jazeera
23.69781,120.960515,taiwan,4,Al Jazeera
38.861034,71.276093,tajikistan,1,Al Jazeera
13.193887,-59.543198,barbados,1,Al Jazeera
27.514162,90.433601,bhutan,1,Al Jazeera
55.169438,23.881275,lithuania,3,Al Jazeera
55.378051,-3.435973,united kingdom,22,Al Jazeera
33.886917,9.537499,tunisia,5,Al Jazeera
-1.940278,29.873888,rwanda,10,Al Jazeera
18.220833,-66.590149,puerto rico,3,Al Jazeera
-38.416097,-63.616672,argentina,10,Al Jazeera
60.472024,8.468946,norway,9,Al Jazeera
8.460555,-11.779889,sierra leone,6,Al Jazeera
25.930414,50.637772,bahrain,11,Al Jazeera
-25.274398,133.775136,australia,23,Al Jazeera
21.521757,-77.781167,cuba,34,Al Jazeera
15.783471,-90.230759,guatemala,4,Al Jazeera
-19.015438,29.154857,zimbabwe,7,Al Jazeera
50.503887,4.469936,belgium,4,Al Jazeera
18.971187,-72.285215,haiti,6,Al Jazeera
48.019573,66.923684,kazakhstan,5,Al Jazeera
12.238333,-1.561593,burkina faso,3,Al Jazeera
6.428055,-9.429499,liberia,9,Al Jazeera
52.132633,5.291266,netherlands,7,Al Jazeera
56.26392,9.501785,denmark,8,Al Jazeera
12.879721,121.774017,philippines,9,Al Jazeera
